customer_id,Recency,Frequency,Monetary,Cluster,CLV,Customer_Value
BW-11110,55,35,30613.6165,0,1071476.5775,High
SE-20110,10,36,29532.62502,0,1063174.50072,High
ZC-21910,4,37,28472.81926,0,1053494.31262,High
PO-18850,5,41,25274.4702,0,1036253.2782,High
GT-14710,9,30,34471.89028,0,1034156.7084,High
HM-14860,2,37,27434.1676,0,1015064.2012,High
BE-11335,36,37,27158.0184,0,1004846.6808,High
TC-20980,28,28,34218.269,0,958111.532,High
AF-10870,7,36,26487.2585,0,953541.306,High
EM-13960,3,37,25228.52948,0,933455.59076,High
KD-16495,47,36,24996.5031,0,899874.1116000001,High
NF-18385,8,32,28044.3595,0,897419.504,High
TA-21385,19,25,35668.120800000004,0,891703.0200000001,High
CC-12370,44,30,28229.8514,0,846895.542,High
DR-12940,28,33,25641.46492,0,846168.3423599999,High
TP-21130,3,37,22697.57728,0,839810.35936,High
FH-14365,2,30,27649.32652,0,829479.7956,High
LA-16780,14,34,24273.0019,0,825282.0645999999,High
JG-15805,1,37,22015.3862,0,814569.2894,High
JE-15715,10,36,22275.2689,0,801909.6804,High
MP-18175,17,36,22045.2528,0,793629.1007999999,High
SP-20920,7,28,28124.21286,0,787477.96008,High
JW-15220,13,34,23103.7263,0,785526.6941999999,High
PF-19120,85,28,27993.04966,0,783805.3904800001,High
SC-20695,10,35,21931.0435,0,767586.5225,High
LB-16795,40,31,24589.87022,0,762285.97682,High
PS-19045,21,26,29252.3194,0,760560.3044,High
AB-10105,28,33,22966.78,0,757903.74,High
MY-18295,1,29,25570.49418,0,741544.33122,High
PO-18865,1,35,21051.0598,0,736787.093,High
ME-17320,6,30,24527.029,0,735810.87,High
BM-11140,9,29,25312.2927,0,734056.4883000001,High
JH-15820,14,31,23586.7205,0,731188.3354999999,High
GZ-14470,8,35,20869.699,0,730439.465,High
RB-19360,21,25,29197.6346,0,729940.865,High
BH-11710,24,31,23537.335,0,729657.385,High
AM-10705,26,30,24218.5645,0,726556.935,High
JK-16090,9,33,21918.73684,0,723318.3157200001,High
SW-20755,16,31,23321.58,0,722968.9800000001,High
MC-17635,6,34,21113.5107,0,717859.3637999999,High
SC-20095,76,28,25602.61,0,716873.0800000001,High
JH-15985,12,38,18863.4044,0,716809.3672,High
KH-16690,3,39,18158.4601,0,708179.9439,High
JK-15730,49,34,20825.892,0,708080.328,High
JB-16000,2,32,22127.18112,0,708069.79584,High
SV-20365,88,31,22376.44748,0,693669.87188,High
AH-10210,7,34,20365.74018,0,692435.1661200001,High
BF-11170,17,31,22314.84044,0,691760.05364,High
MS-17365,6,34,20317.0067,0,690778.2278000001,High
DK-13090,9,36,19178.6392,0,690431.0112000001,High
AF-10885,54,35,19711.16728,0,689890.8548000001,High
JE-15745,33,35,19629.12896,0,687019.5136,High
BN-11470,12,29,23378.10388,0,677965.01252,High
