customer_id,Recency,Frequency,Monetary,Cluster
AA-10315,9,19,13747.413,1
AA-10375,7,23,5884.195,1
AA-10480,126,20,17695.58978,0
AA-10645,29,36,15343.8907,0
AA-315,3,7,2243.256,2
AA-375,254,8,654.492,3
AA-480,315,5,2063.493,3
AA-645,52,11,1968.324,2
AB-10015,17,32,20037.4975,0
AB-10060,43,32,18416.5504,0
AB-10105,28,33,22966.78,0
AB-10150,36,24,13057.2946,1
AB-10165,14,29,11649.265,1
AB-10255,6,31,10786.7164,1
AB-105,44,7,2156.4,2
AB-10600,51,22,13318.6631,1
AB-15,413,5,4607.13,3
AB-150,399,4,3143.88,3
AB-165,17,6,1399.776,2
AB-255,44,8,4679.502,2
AB-60,36,9,1770.2279999999998,2
AB-600,8,5,5408.55,2
AC-10420,7,24,10607.6947,1
AC-10450,6,19,16126.3904,1
AC-10615,7,29,12729.72448,1
AC-10660,3,21,6255.61908,1
AC-420,14,9,1689.675,2
AC-450,182,7,1026.597,2
AC-615,93,7,2298.432,2
AC-660,120,4,2676.09,2
AD-10180,30,27,17858.5048,0
AD-180,6,3,681.288,2
AF-10870,7,36,26487.2585,0
AF-10885,54,35,19711.16728,0
AF-870,6,9,1700.082,2
AF-885,168,2,354.99,2
AG-10270,41,25,10637.40422,1
AG-10300,3,24,13013.8762,1
AG-10330,9,29,14534.50618,0
AG-10390,115,19,8453.0096,1
AG-10495,79,29,15380.31006,0
AG-10525,13,20,8468.963,1
AG-10675,48,21,13023.836,1
AG-10765,29,27,9824.7795,1
AG-10900,58,29,18174.17176,0
AG-270,14,8,2779.806,2
AG-300,99,6,1703.31,2
AG-330,3,7,532.545,2
AG-390,113,4,473.112,2
AG-495,49,11,1003.992,2
AG-525,16,7,2870.676,2
AG-675,174,10,2368.131,2
AG-765,115,8,1859.532,2
AG-900,24,4,1699.47,2
AH-10030,13,27,14439.49784,1
AH-10075,3,34,18109.86142,0
AH-10120,61,22,9927.83588,1
AH-10195,50,25,12628.19178,1
AH-10210,7,34,20365.74018,0
AH-10465,71,20,8547.83068,1
AH-10585,22,22,9125.8911,1
AH-10690,31,31,16276.16112,0
AH-120,22,4,1478.082,2
AH-195,279,9,2651.565,3
AH-210,458,4,3277.11,3
AH-30,469,7,6320.0160000000005,3
AH-465,242,4,650.826,2
AH-585,76,9,2232.222,2
AH-690,59,5,1817.898,2
AH-75,38,8,3608.34,2
AI-10855,14,22,8358.6023,1
AI-855,204,4,919.974,2
AJ-10780,49,25,15186.0672,1
AJ-10795,63,22,8887.077,1
AJ-10945,29,29,11087.024,1
AJ-10960,49,17,8633.59348,1
AJ-780,2,12,2570.994,2
AJ-795,37,10,3395.58,2
AJ-945,105,7,4860.924,2
AJ-960,295,10,4629.156,3
AM-10360,16,33,16730.3296,0
AM-10705,26,30,24218.5645,0
AM-360,176,6,2035.827,2
AM-705,137,6,1303.77,2
AO-10810,37,27,14537.7966,1
AO-810,8,5,485.007,2
AP-10720,42,20,15362.0613,1
AP-10915,77,32,15877.8603,0
AP-720,38,6,999.699,2
AP-915,93,5,2668.08,2
AR-10345,30,26,14165.7962,1
AR-10405,55,22,8956.82078,1
AR-10510,15,29,14277.88536,0
AR-10540,7,15,7983.9505,1
AR-10570,3,18,9445.64932,1
AR-10825,23,38,15311.0356,0
AR-345,142,9,2301.072,2
AR-405,223,6,571.11,2
AR-510,105,10,2638.638,2
AR-540,222,8,561.6,2
AR-570,71,9,2044.278,2
AR-825,34,7,2028.912,2
AS-10045,24,28,12596.2944,1
AS-10090,16,32,15009.47272,0
AS-10135,42,19,7307.2442,1
AS-10225,13,28,21366.8987,0
AS-10240,13,31,9006.66636,1
AS-10285,19,30,16179.86246,0
AS-10630,36,19,9815.9395,1
AS-135,93,5,3978.81,2
AS-225,3,7,469.515,2
AS-240,499,5,1686.51,3
AS-285,100,13,4938.462,2
AS-45,234,3,1616.334,2
AS-630,34,11,2000.01,2
AS-90,22,4,435.204,2
AT-10435,13,24,13654.3055,1
AT-10735,3,29,12984.1049,1
AT-435,29,12,1287.993,2
AT-735,70,5,403.65,2
AW-10840,17,25,13200.25552,1
AW-10930,36,22,10230.95856,1
AW-840,57,7,1947.0,2
AW-930,38,6,782.0550000000001,2
AY-10555,15,16,5446.61044,1
AY-555,36,11,3096.42,2
AZ-10750,71,18,9639.801,1
AZ-750,27,10,2231.277,2
BB-10990,15,30,9064.5327,1
BB-11545,29,26,15797.57188,0
BB-1545,50,5,207.228,2
BB-990,51,7,822.288,2
BC-11125,34,28,14789.447,0
