customer_id,Recency,Frequency,Monetary
AA-10315,9,19,13747.413
AA-10375,7,23,5884.195
AA-10480,126,20,17695.58978
AA-10645,29,36,15343.8907
AA-315,3,7,2243.256
AA-375,254,8,654.492
AA-480,315,5,2063.493
AA-645,52,11,1968.324
AB-10015,17,32,20037.4975
AB-10060,43,32,18416.5504
AB-10105,28,33,22966.78
AB-10150,36,24,13057.294600000001
AB-10165,14,29,11649.265
AB-10255,6,31,10786.7164
AB-105,44,7,2156.4
AB-10600,51,22,13318.6631
AB-15,413,5,4607.13
AB-150,399,4,3143.88
AB-165,17,6,1399.776
AB-255,44,8,4679.502
AB-60,36,9,1770.2279999999998
AB-600,8,5,5408.55
AC-10420,7,24,10607.6947
AC-10450,6,19,16126.3904
AC-10615,7,29,12729.72448
AC-10660,3,21,6255.61908
AC-420,14,9,1689.675
AC-450,182,7,1026.597
AC-615,93,7,2298.432
AC-660,120,4,2676.09
AD-10180,30,27,17858.5048
AD-180,6,3,681.288
AF-10870,7,36,26487.2585
AF-10885,54,35,19711.16728
AF-870,6,9,1700.082
AF-885,168,2,354.99
AG-10270,41,25,10637.40422
AG-10300,3,24,13013.8762
AG-10330,9,29,14534.50618
AG-10390,115,19,8453.0096
AG-10495,79,29,15380.31006
AG-10525,13,20,8468.963
AG-10675,48,21,13023.836000000001
AG-10765,29,27,9824.7795
AG-10900,58,29,18174.17176
AG-270,14,8,2779.806
AG-300,99,6,1703.31
AG-330,3,7,532.545
AG-390,113,4,473.112
AG-495,49,11,1003.9920000000001
AG-525,16,7,2870.676
AG-675,174,10,2368.131
AG-765,115,8,1859.5320000000002
AG-900,24,4,1699.47
AH-10030,13,27,14439.49784
AH-10075,3,34,18109.86142
AH-10120,61,22,9927.83588
AH-10195,50,25,12628.19178
AH-10210,7,34,20365.74018
AH-10465,71,20,8547.83068
AH-10585,22,22,9125.8911
AH-10690,31,31,16276.16112
AH-120,22,4,1478.0819999999999
AH-195,279,9,2651.565
AH-210,458,4,3277.11
AH-30,469,7,6320.0160000000005
AH-465,242,4,650.826
AH-585,76,9,2232.222
AH-690,59,5,1817.898
AH-75,38,8,3608.34
AI-10855,14,22,8358.6023
AI-855,204,4,919.974
AJ-10780,49,25,15186.0672
AJ-10795,63,22,8887.077
AJ-10945,29,29,11087.024
AJ-10960,49,17,8633.59348
AJ-780,2,12,2570.994
AJ-795,37,10,3395.58
AJ-945,105,7,4860.924
AJ-960,295,10,4629.156
AM-10360,16,33,16730.3296
AM-10705,26,30,24218.5645
AM-360,176,6,2035.827
AM-705,137,6,1303.77
AO-10810,37,27,14537.7966
AO-810,8,5,485.007
AP-10720,42,20,15362.0613
AP-10915,77,32,15877.8603
AP-720,38,6,999.699
AP-915,93,5,2668.08
AR-10345,30,26,14165.796199999999
AR-10405,55,22,8956.82078
AR-10510,15,29,14277.88536
AR-10540,7,15,7983.9505
AR-10570,3,18,9445.64932
AR-10825,23,38,15311.035600000001
AR-345,142,9,2301.072
AR-405,223,6,571.11
AR-510,105,10,2638.638
AR-540,222,8,561.6
AR-570,71,9,2044.278
AR-825,34,7,2028.9119999999998
AS-10045,24,28,12596.2944
AS-10090,16,32,15009.47272
AS-10135,42,19,7307.2442
AS-10225,13,28,21366.8987
AS-10240,13,31,9006.66636
AS-10285,19,30,16179.86246
AS-10630,36,19,9815.9395
AS-135,93,5,3978.81
AS-225,3,7,469.515
AS-240,499,5,1686.51
AS-285,100,13,4938.4619999999995
AS-45,234,3,1616.334
AS-630,34,11,2000.01
AS-90,22,4,435.204
AT-10435,13,24,13654.3055
AT-10735,3,29,12984.1049
AT-435,29,12,1287.993
AT-735,70,5,403.65000000000003
AW-10840,17,25,13200.25552
AW-10930,36,22,10230.95856
AW-840,57,7,1947.0
AW-930,38,6,782.0550000000001
AY-10555,15,16,5446.61044
AY-555,36,11,3096.42
AZ-10750,71,18,9639.801
AZ-750,27,10,2231.277
BB-10990,15,30,9064.5327
BB-11545,29,26,15797.57188
BB-1545,50,5,207.228
BB-990,51,7,822.288
BC-11125,34,28,14789.447
BC-1125,30,6,396.042
BD-11320,6,32,13390.267
BD-11500,20,27,13089.8495
BD-11560,8,19,9356.77974
BD-11605,98,19,9202.66214
BD-11620,50,25,7849.0000199999995
BD-11635,10,25,11230.6983
BD-11725,5,30,10877.827
BD-11770,36,26,10168.32526
BD-1320,6,6,1885.05
BD-1500,399,3,52.047
BD-1560,91,5,1564.02
BD-1605,276,5,689.64
BD-1620,118,11,2919.597
BD-1635,325,9,5689.263
BD-1725,101,13,5078.400000000001
BD-1770,239,5,3405.066
BE-11335,36,37,27158.0184
BE-11410,85,30,16552.06996
BE-11455,4,27,17643.5253
BE-1335,573,5,1321.1490000000001
BE-1410,22,7,1859.859
BE-1455,147,2,1340.31
BF-1005,735,2,732.033
BF-1020,97,7,3006.996
BF-1080,210,6,3808.17
BF-10975,36,22,8104.7792
BF-11005,9,25,23347.83866
BF-11020,16,24,10201.2813
BF-11080,26,21,10134.5617
BF-11170,17,31,22314.84044
BF-11215,27,27,12968.9385
BF-11275,7,23,9578.59864
BF-1170,194,6,904.9200000000001
BF-1215,118,5,398.91900000000004
BF-1275,129,7,1009.9739999999999
BF-975,23,8,1730.232
BG-1035,601,1,124.416
BG-11035,29,33,19899.1474
BG-11695,10,19,10723.32038
BG-11740,7,24,14689.342499999999
BG-1695,45,5,488.84999999999997
BG-1740,17,4,692.454
BH-11710,24,31,23537.335
BH-1710,94,10,4583.286
BK-11260,27,27,13294.68736
BK-1260,41,6,291.564
BM-11140,9,29,25312.2927
BM-1140,14,6,1857.69
BM-11575,35,25,10351.33308
BM-11650,34,24,14920.99608
BM-11785,3,36,18446.8529
BM-1575,41,9,1703.982
BM-1650,482,8,2537.1059999999998
BM-1785,49,9,2244.342
BN-11470,12,29,23378.10388
BN-11515,10,23,10272.22552
BN-1470,23,7,2823.852
BN-1515,28,8,2606.8019999999997
BO-11350,112,20,7476.2546999999995
BO-11425,6,21,12356.58552
BO-1350,22,6,616.236
BO-1425,2,8,2671.257
BP-1050,12,9,4981.542
BP-1095,12,6,1759.668
BP-11050,6,21,5403.78676
BP-11095,3,32,8327.8696
BP-11155,33,24,13696.143460000001
BP-11185,2,28,15376.031719999999
BP-11230,40,23,12573.6136
BP-11290,13,29,12448.89978
BP-1155,262,6,1110.78
BP-1185,5,10,1430.616
BP-1230,84,8,6134.988
BP-1290,370,4,383.34000000000003
BS-11365,1,26,22551.02596
BS-11380,29,23,18305.9783
BS-11590,36,23,11358.58602
BS-11665,30,24,17468.881
BS-11755,2,29,17557.4595
BS-11800,10,21,10887.2118
BS-1365,38,5,957.63
BS-1380,132,5,469.458
BS-1590,238,5,819.4499999999999
BS-1665,153,7,5101.907999999999
BS-1755,296,5,1679.76
BS-1800,12,9,6364.854
BT-11305,29,24,10321.82
BT-11395,29,24,11347.529
BT-11440,52,21,8263.9755
BT-11485,31,29,8878.05054
BT-11530,34,25,13808.318
BT-11680,19,22,14087.7631
BT-1305,32,10,1305.96
BT-1395,34,4,448.848
BT-1440,94,10,2132.565
BT-1485,98,9,2803.974
